WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
HT832Z1,HT832Z1-S1H1Fp1U2,/diskmnt/primary/Xenium/data/20241010__203252__20241010_5K_MGI_PKD_PCa_PDAC_CRC/output-XETG00113__0037126__HT832Z1U1__20241010__203413,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,224186,530,cell,5101,186111312,38052093.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT1011Z1,HT1011Z1-S1H3Fp1U1,/diskmnt/primary/Xenium/data/20241227__223539__20241227_5K_MGI_CRC_RCC_MM_PCa/output-XETG00113__0043322__HT1011Z1-S1H3Fp1U1__20241227__223819,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,245739,500,cell,5101,217606064,49390889.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT206B1,HT206B1-H2L1Us1_9,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0010528__HT206B1-H2L1Us1_9__20230830__154053,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,117645,71,cell,477,11024562,33290028.9,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT206B1,HT206B1-H2L1Us1_17,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0010528__HT206B1-H2L1Us1_17__20230830__154053,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,116678,75,cell,477,11347311,33758001.4,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT206B1,HT206B1-H2L1Us1_1,/diskmnt/primary/Xenium/data/20230830__153957__20230830_24001/output-XETG00122__0010528__HT206B1-H2L1Us1_1__20230830__154053,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,119855,82,cell,477,12774423,33299355.6,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT206B1,HT206B1-H2L1Us1_24,/diskmnt/primary/Xenium/data/20230919__220553__24003/output-XETG00122__0010520__HT206B1-H2L1Us1_24__20230919__220650,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,110497,105,cell,377,15495623,33746757.4,TRUE,,,,,Targeted,,,,DAPI,nucleus,,,,,,,,,,,,,,,
HT206B1,HT206B1-H2L1Us1_8,/diskmnt/primary/Xenium/data/20230919__220553__24003/output-XETG00122__0010520__HT206B1-H2L1Us1_8__20230919__220650,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,115764,116,cell,377,18021645,33328923.5,TRUE,,,,,Targeted,,,,DAPI,nucleus,,,,,,,,,,,,,,,
HT206B1,HT206B1-H2L1Us1_15,/diskmnt/primary/Xenium/data/20230919__220553__24003/output-XETG00122__0010520__HT206B1-H2L1Us1_15__20230919__220650,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,115811,114,cell,377,17890899,31114380.0,TRUE,,,,,Targeted,,,,DAPI,nucleus,,,,,,,,,,,,,,,
HT591B1,HT591B1-S1H1Fp1Us1_1,/diskmnt/primary/Xenium/data/20230803__195918__20230803_firstsamples/output-XETG00122__0010660__HT591B1-S1H1Fp1Us1_1__20230803__200008,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,377,Xenium,FALSE,110065,108,cell,377,14142033,43771032.7,TRUE,,,,,Targeted,,,,DAPI,nucleus,,,,,,,,,,,,,,,
HT704B1,HT704B1-S1H3Fp1U1,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034390__HT704B1-S1H3Fp1U1__20240619__175030,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,224958,127,cell,477,46261965,46006963.7,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
,HT704B1-S1H3Fp1U17,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034390__HT704B1-S1H3Fp1U17__20240619__175030,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,214549,118,cell,477,40355115,45096156.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT704B1,HT704B1-S1H3Fp1U26,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034390__HT704B1-S1H3Fp1U26__20240619__175030,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,201141,116,cell,477,37155842,42466509.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT704B1,HT704B1-S1H3Fp1U33,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034322__HT704B1-S1H3Fp1U33__20240619__175030,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,194193,102,cell,477,31681842,40762350.7,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT704B1,HT704B1-S1H3Fp1U41,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034322__HT704B1-SH3Fp1U41__20240619__175031,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,182625,94,cell,477,27467345,39887759.7,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT704B1,HT704B1-S1H3Fp1U50,/diskmnt/primary/Xenium/data/20240619__174946__20240619_HTAN_BRCA-serial/output-XETG00122__0034322__HT704B1-S1H3Fp1U50__20240619__175031,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,177898,102,cell,477,29381634,39889862.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
1581620A,1581620AU1,/diskmnt/primary/Xenium/data/20241204_5K_MGI_PKD_BRC_CRC/output-XETG00113__0043724__1581620AU1__20241204__224100,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,59569,814,cell,5101,84121923,14969889.4,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
1654977A,1654977AU1,/diskmnt/primary/Xenium/data/20241204_5K_MGI_PKD_BRC_CRC/output-XETG00113__0043724__1654977AU1__20241204__224100,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,294638,492,cell,5101,214950836,38182600.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT727B1,HT727B1-S1H4Fp1U1,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037628__HT727B1-S1H4Fp1U1__20250124__223011,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,117586,611,cell,5101,105287944,27947521.6,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
1661918a,1661918aU1,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037628__1661918aU1__20250124__223012,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,109573,651,cell,5101,95594925,25442336.0,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
1607059,1607059U1,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037628__1607059U1__20250124__223012,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,15291,393,cell,5101,10004847,14105874.9,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT944B1,HT944B1-S2H2bFpU1,/diskmnt/primary/Xenium/data/20250124__222618__20250124_5K_Breast_HN_PKD/output-XETG00523__0037640__HT944B1-S2H2bFpU1__20250124__223012,Matt fills in,Matt fills in,,,Xenium Prime,,TRUE,TRUE,5101,Xenium,FALSE,83450,553,cell,5101,71692868,18397028.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP048Z1,SP048Z1-Fp1C27U2,/diskmnt/primary/Xenium/data/20240516__213831__20240516_HTAN_prostate/output-XETG00122__0033872__S18-5929-C27U2__20240516__213857,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,405242,133,cell,477,85063935,90965659.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP051Z1,SP051Z1-Fp1F1U2,/diskmnt/primary/Xenium/data/20240516__213831__20240516_HTAN_prostate/output-XETG00122__0033872__S20-23195-F1U2__20240516__213857,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,90160,126,cell,477,15446804,39884487.9,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP050Z1,SP050Z1-Fp1A1U2,/diskmnt/primary/Xenium/data/20240516__213831__20240516_HTAN_prostate/output-XETG00122__0033871__S23-27043-A1U2__20240516__213857,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,288032,43,cell,477,30218743,51778720.1,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
