WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
SP015Z1,SP015Z1-Fp1A1U3,/diskmnt/primary/Xenium/data/20231026__203216__24008/output-XETG00122__0011002__S22-53426-A1U3__20231026__203324,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,18953,218,cell,477,5522642,15074604.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP006Z1,SP006Z1-Fp1C8Us2_1,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0011055__S18-5591-C8Us2_1__20231114__223131,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,263842,81,cell,477,24948830,65631717.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP006Z1,SP006Z1-Fp1C8Us2_12,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0010977__S18-5591-C8Us2_12__20231114__223131,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,222957,79,cell,477,21020914,69144800.6,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP006Z1,SP006Z1-Fp1C8Us2_18,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0011055__S18-5591-C8Us2_18__20231114__223131,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,247228,83,cell,477,23977620,62994210.4,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP006Z1,SP006Z1-Fp1C8Us2_20,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0010977__S18-5591-C8Us2_20__20231114__223131,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,189696,81,cell,477,18146161,53469685.8,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP006Z1,SP006Z1-Fp1C8Us2_5,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0010977__S18-5591-C8Us2_5__20231114__223131,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,248492,81,cell,477,23675982,64781029.6,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP006Z1,SP006Z1-Fp1C8Us2_7,/diskmnt/primary/Xenium/data/20231114__223057__24010/output-XETG00122__0011055__S18-5591-C8Us2_7__20231114__223131,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,228178,78,cell,477,21208870,66950326.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT814Z1,HT814Z1-S1H1Fp1Us1_3,/diskmnt/primary/Xenium/data/20240228__230055__20240228_Prostate_Bone/output-XETG00122__0009954__HT814Z1-S1H1Fp1Us1_3__20240228__230117,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,79721,80,cell,477,7939550,20647149.4,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT817Z1,HT817Z1-S1H1Fp1Us1_2,/diskmnt/primary/Xenium/data/20240228__230055__20240228_Prostate_Bone/output-XETG00122__0009954__HT817Z1-S1H1Fp1Us1_2__20240228__230117,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,82306,125,cell,477,12450873,24121358.4,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP007Z1,SP007Z1-Fp1A10Us2_1,/diskmnt/primary/Xenium/data/20240228__230055__20240228_Prostate_Bone/output-XETG00122__0009954__S18-8795-A10Us2_1__20240228__230117,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,328335,125,cell,477,48202483,78664365.9,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT832Z1,HT832Z1-S1H1Fp1U1,/diskmnt/primary/Xenium/data/20240320__161703__20240320_RCC_Prostate/output-XETG00122__0024817__HT832Z1-S1H1Fp1U1__20240320__161736,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,197783,147,cell,477,34343789,37249643.0,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP016Z1,SP016Z1-Fp1B28U1,/diskmnt/primary/Xenium/data/20240322__175618__202040322_HTAN_SNP_prostate/output-XETG00122__0010300__S18-8122-B28U1__20240322__175655,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,247512,157,cell,477,44063662,56490613.6,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT849Z1,HT849Z1-S1H2Fp1U1,/diskmnt/primary/Xenium/data/20240326__222642__20240326_Prostate_Chol/output-XETG00122__0024905__HT849Z1-S1H2Fp1U1__20240326__222724,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,170793,123,cell,477,25183847,45977247.7,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT852Z1,HT852Z1-S1H1Fp1U1,/diskmnt/primary/Xenium/data/20240326__222642__20240326_Prostate_Chol/output-XETG00122__0024905__HT852Z1-S1H1Fp1U1__20240326__222724,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,165745,136,cell,477,26409110,40312700.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP011Z1,SP011Z1-Fp1-A15U1,/diskmnt/primary/Xenium/data/20240329__172043__20240329_pairedmCRC-CRC_prostate/output-XETG00122__0022749__S20-12521-A15U1__20240329__172116,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,395788,163,cell,477,74918995,68203727.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
SP014Z1,SP014Z1-Fp1A29U1,/diskmnt/primary/Xenium/data/20240329__172043__20240329_pairedmCRC-CRC_prostate/output-XETG00122__0022750__S22-44238-A29U1__20240329__172116,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,436631,201,cell,477,102427470,81806519.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U1,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034184__HT891Z1-S2H3Fp1U1__20240524__182554,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,236758,98,cell,477,34658419,35076772.8,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U21,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034184__HT891Z1-S2H3Fp1U21__20240524__182554,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,232003,97,cell,477,33016303,34180386.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U32,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034184__HT891Z1-S2H3Fp1U31__20240524__182554,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,205009,82,cell,477,25640618,32447509.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U44,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034183__HT891Z1-S2H3Fp1U44__20240524__182554,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,223452,94,cell,477,31983784,33771647.6,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U59,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034183__HT891Z1-S2H3Fp1U59__20240524__182554,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,206538,97,cell,477,30272180,34633396.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U69,/diskmnt/primary/Xenium/data/20240524__182517__20240524_HTAN_prostate_serial/output-XETG00122__0034183__HT891Z1-S2H3Fp1U69__20240524__182554,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,196578,94,cell,477,27954124,33773727.3,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U104,/diskmnt/primary/Xenium/data/20240613__175032__20240613_Prostate_SNP/output-XETG00122__0033823__HT891Z1-S2H3Fp1U104__20240613__175113,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,124775,103,cell,477,19401071,25445592.5,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U81,/diskmnt/primary/Xenium/data/20240613__175032__20240613_Prostate_SNP/output-XETG00122__0033823__HT891Z1-S2H3Fp1U81__20240613__175113,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,202006,91,cell,477,28249709,30703391.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT891Z1,HT891Z1-S2H3Fp1U94,/diskmnt/primary/Xenium/data/20240613__175032__20240613_Prostate_SNP/output-XETG00122__0033823__HT891Z1-S2H3Fp1U94__20240613__175113,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,160268,94,cell,477,22875079,29813489.8,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U101,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024913__HT913Z1-S2H1Fp1U101__20240703__174440/,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,204716,102,cell,477,33853478,39020083.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U33,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024910__HT913Z1-S2H1Fp1U33__20240703__174440/,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,288322,90,cell,477,43847033,51670245.8,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U34,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024910__HT913Z1-S2H1Fp1U34__20240703__174440/,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,286068,93,cell,477,44679079,51231328.0,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
HT913Z1,HT913Z1-S2H1Fp1U35,/diskmnt/primary/Xenium/data/20240703__174409__20240703_HTAN_prostate-serial/output-XETG00122__0024910__HT913Z1-S2H1Fp1U35__20240703__174440/,Matt fills in,Matt fills in,,,v1,,TRUE,TRUE,477,Xenium,FALSE,287688,95,cell,477,45741653,51221261.2,TRUE,,,,,Targeted,,,,Xenium Multi-Tissue Stain,whole cell,,,,,,,,,,,,,,,
