Xenium Probe Panels ,,,,,
1. Instruction and panel description,,,,,
Please use the Panel column with the matching tab to identify the probe panel used,,,,,
,,,,,
Panel,Panel Type,Predesigned panel,Description,n_gene,n_gene_total
hMulti,Predesigned,,Human Multi-Tissue and Cancer,377,377
8P9U3X_hMulti,Custom,hMulti,,100,477
J9HB8Q_hMulti,Custom,hMulti,,95,472
8UT8B9_hMulti,Custom,hMulti,,91,468
TQDHMX_hMulti,Custom,hMulti,,100,477
,,,,,
Panel,Panel Type,Predesigned panel,Description,n_gene,n_gene_total
hMulti_v2,Predesigned,,Xenium Prime 5K Human Pan Tissue & Pathways Panel,5001,5001
HMTC / DHYHMW,Custom,hMulti_v2,,100,5101
,,,,,
Note: all custom panel are combined with a Predesigned penel. Only custom probes are listed,,,,,
"For Predesigned panel, please use link below and find the panel name lised  in ""Description""",,,,,
https://www.10xgenomics.com/products/xenium-panels,,,,,
,,,,,
2. section Id and xenium panel,,,,,
section_id,case,disease,Panel,,
SP008Z1-Fp1F15U1,SP008Z1,prostate,8P9U3X_hMulti,,
SP009Z1-Fp1B14U1,SP009Z1,prostate,8P9U3X_hMulti,,
SP011Z1-Fp1-A15U1,SP011Z1,prostate,8UT8B9_hMulti,,
SP012Z1-Fp1-A2U3,SP012Z1,prostate,8P9U3X_hMulti,,
SP014Z1-Fp1A29U1,SP014Z1,prostate,8UT8B9_hMulti,,
SP015Z1-Fp1A1U3,SP015Z1,prostate,8P9U3X_hMulti,,
SP016Z1-Fp1B28U1,SP016Z1,prostate,8UT8B9_hMulti,,
SP016Z1-Fp1B28U2,SP016Z1,prostate,8UT8B9_hMulti,,
SP017Z1-Fp1B27Us1_2,SP017Z1,prostate,hMulti,,
SP017Z1-Fp1B27Us1_9,SP017Z1,prostate,hMulti,,
SP017Z1-Fp1B27Us1_17,SP017Z1,prostate,hMulti,,
SP017Z1-Fp1B27Us1_24,SP017Z1,prostate,hMulti,,
SP048Z1-Fp1C27U1,SP048Z1,prostate,J9HB8Q_hMulti,,
SP048Z1-Fp1C27U2,SP048Z1,prostate,J9HB8Q_hMulti,,
SP051Z1-Fp1F1U2,SP051Z1,prostate,J9HB8Q_hMulti,,
SP050Z1-Fp1A1U2,SP050Z1,prostate,J9HB8Q_hMulti,,
1581620AU1,1581620A,breast,HMTC / DHYHMW,,
1654977AU1,1654977A,breast,HMTC / DHYHMW,,
1661918aU1,1661918a,breast,HMTC / DHYHMW,,
1607059U1,1607059,breast,HMTC / DHYHMW,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3. custom panels,,,,,
8P9U3X_hMulti,,,,,
Gene,Ensembl ID,Panel,Base Panel,,
HAVCR1,ENSG00000113249,8P9U3X_hMulti,hMulti,,
SLC6A3,ENSG00000142319,8P9U3X_hMulti,hMulti,,
EPHA6,ENSG00000080224,8P9U3X_hMulti,hMulti,,
IFNG,ENSG00000111537,8P9U3X_hMulti,hMulti,,
AZGP1,ENSG00000160862,8P9U3X_hMulti,hMulti,,
CA9,ENSG00000107159,8P9U3X_hMulti,hMulti,,
CDKN1A,ENSG00000124762,8P9U3X_hMulti,hMulti,,
CDKN2A_p16,CDKN2A_p16,8P9U3X_hMulti,hMulti,,
COX6C,ENSG00000164919,8P9U3X_hMulti,hMulti,,
CP,ENSG00000047457,8P9U3X_hMulti,hMulti,,
CRP,ENSG00000132693,8P9U3X_hMulti,hMulti,,
FN1,ENSG00000115414,8P9U3X_hMulti,hMulti,,
FOS,ENSG00000170345,8P9U3X_hMulti,hMulti,,
HIF1A,ENSG00000100644,8P9U3X_hMulti,hMulti,,
IGFBP7,ENSG00000163453,8P9U3X_hMulti,hMulti,,
ITGAX,ENSG00000140678,8P9U3X_hMulti,hMulti,,
JUN,ENSG00000177606,8P9U3X_hMulti,hMulti,,
KRT14,ENSG00000186847,8P9U3X_hMulti,hMulti,,
KRT17,ENSG00000128422,8P9U3X_hMulti,hMulti,,
KRT19,ENSG00000171345,8P9U3X_hMulti,hMulti,,
KRT5,ENSG00000186081,8P9U3X_hMulti,hMulti,,
LAMC2,ENSG00000058085,8P9U3X_hMulti,hMulti,,
LMNB1,ENSG00000113368,8P9U3X_hMulti,hMulti,,
LRP2,ENSG00000081479,8P9U3X_hMulti,hMulti,,
MGP,ENSG00000111341,8P9U3X_hMulti,hMulti,,
MUC5AC,ENSG00000215182,8P9U3X_hMulti,hMulti,,
NCAM1,ENSG00000149294,8P9U3X_hMulti,hMulti,,
ONECUT2,ENSG00000119547,8P9U3X_hMulti,hMulti,,
PLAT,ENSG00000104368,8P9U3X_hMulti,hMulti,,
SERPINE1,ENSG00000106366,8P9U3X_hMulti,hMulti,,
SLC39A6,ENSG00000141424,8P9U3X_hMulti,hMulti,,
SOX9,ENSG00000125398,8P9U3X_hMulti,hMulti,,
SPP1,ENSG00000118785,8P9U3X_hMulti,hMulti,,
TFF1,ENSG00000160182,8P9U3X_hMulti,hMulti,,
TGFB1,ENSG00000105329,8P9U3X_hMulti,hMulti,,
TOX,ENSG00000198846,8P9U3X_hMulti,hMulti,,
VEGFA,ENSG00000112715,8P9U3X_hMulti,hMulti,,
ENTPD1,ENSG00000138185,8P9U3X_hMulti,hMulti,,
GATA3,ENSG00000107485,8P9U3X_hMulti,hMulti,,
AMY2B,ENSG00000240038,8P9U3X_hMulti,hMulti,,
CALB1,ENSG00000104327,8P9U3X_hMulti,hMulti,,
CDH1,ENSG00000039068,8P9U3X_hMulti,hMulti,,
CDKN2A_p14arf,CDKN2A_p14arf,8P9U3X_hMulti,hMulti,,
CLDN18,ENSG00000066405,8P9U3X_hMulti,hMulti,,
NPHS2,ENSG00000116218,8P9U3X_hMulti,hMulti,,
PAX2,ENSG00000075891,8P9U3X_hMulti,hMulti,,
PAX8,ENSG00000125618,8P9U3X_hMulti,hMulti,,
SCNN1A,ENSG00000111319,8P9U3X_hMulti,hMulti,,
TNF,ENSG00000232810,8P9U3X_hMulti,hMulti,,
ATP6V1C1,ENSG00000155097,8P9U3X_hMulti,hMulti,,
EFNB2,ENSG00000125266,8P9U3X_hMulti,hMulti,,
EPHB4,ENSG00000196411,8P9U3X_hMulti,hMulti,,
LYPD3,ENSG00000124466,8P9U3X_hMulti,hMulti,,
PTCH1,ENSG00000185920,8P9U3X_hMulti,hMulti,,
RET,ENSG00000165731,8P9U3X_hMulti,hMulti,,
S100A4,ENSG00000196154,8P9U3X_hMulti,hMulti,,
SHH,ENSG00000164690,8P9U3X_hMulti,hMulti,,
SIX2,ENSG00000170577,8P9U3X_hMulti,hMulti,,
TBX18,ENSG00000112837,8P9U3X_hMulti,hMulti,,
REL,ENSG00000162924,8P9U3X_hMulti,hMulti,,
ACAN,ENSG00000157766,8P9U3X_hMulti,hMulti,,
B3GAT1,ENSG00000109956,8P9U3X_hMulti,hMulti,,
CALCR,ENSG00000004948,8P9U3X_hMulti,hMulti,,
FABP4,ENSG00000170323,8P9U3X_hMulti,hMulti,,
IFI44L,ENSG00000137959,8P9U3X_hMulti,hMulti,,
IFIT2,ENSG00000119922,8P9U3X_hMulti,hMulti,,
IRF1,ENSG00000125347,8P9U3X_hMulti,hMulti,,
KITLG,ENSG00000049130,8P9U3X_hMulti,hMulti,,
LEPR,ENSG00000116678,8P9U3X_hMulti,hMulti,,
TLE4,ENSG00000106829,8P9U3X_hMulti,hMulti,,
TNFRSF11A,ENSG00000141655,8P9U3X_hMulti,hMulti,,
AREG,ENSG00000109321,8P9U3X_hMulti,hMulti,,
CHI3L1,ENSG00000133048,8P9U3X_hMulti,hMulti,,
SREBF1,ENSG00000072310,8P9U3X_hMulti,hMulti,,
TFF3,ENSG00000160180,8P9U3X_hMulti,hMulti,,
MUC1,ENSG00000185499,8P9U3X_hMulti,hMulti,,
MUC2,ENSG00000198788,8P9U3X_hMulti,hMulti,,
AVPR2,ENSG00000126895,8P9U3X_hMulti,hMulti,,
CD44,ENSG00000026508,8P9U3X_hMulti,hMulti,,
CDH11,ENSG00000140937,8P9U3X_hMulti,hMulti,,
CSF1R,ENSG00000182578,8P9U3X_hMulti,hMulti,,
GATA4,ENSG00000136574,8P9U3X_hMulti,hMulti,,
GPR160,ENSG00000173890,8P9U3X_hMulti,hMulti,,
KLF6,ENSG00000067082,8P9U3X_hMulti,hMulti,,
KRT15,ENSG00000171346,8P9U3X_hMulti,hMulti,,
KRT18,ENSG00000111057,8P9U3X_hMulti,hMulti,,
KRT8,ENSG00000170421,8P9U3X_hMulti,hMulti,,
MBP,ENSG00000197971,8P9U3X_hMulti,hMulti,,
NTNG1,ENSG00000162631,8P9U3X_hMulti,hMulti,,
SCD,ENSG00000099194,8P9U3X_hMulti,hMulti,,
SCIN,ENSG00000006747,8P9U3X_hMulti,hMulti,,
SLC1A2,ENSG00000110436,8P9U3X_hMulti,hMulti,,
SLC2A1,ENSG00000117394,8P9U3X_hMulti,hMulti,,
SOCS2,ENSG00000120833,8P9U3X_hMulti,hMulti,,
SYT1,ENSG00000067715,8P9U3X_hMulti,hMulti,,
TP63,ENSG00000073282,8P9U3X_hMulti,hMulti,,
TUBB3,ENSG00000258947,8P9U3X_hMulti,hMulti,,
UCHL1,ENSG00000154277,8P9U3X_hMulti,hMulti,,
VIM,ENSG00000026025,8P9U3X_hMulti,hMulti,,
VPREB1,ENSG00000169575,8P9U3X_hMulti,hMulti,,
,,,,,
,,,,,
,,,,,
,,,,,
J9HB8Q_hMulti,,,,,
Gene,Ensembl ID,Panel,Base Panel,,
CSF1R,ENSG00000182578,J9HB8Q_hMulti,hMulti,,
MBP,ENSG00000197971,J9HB8Q_hMulti,hMulti,,
SLC1A2,ENSG00000110436,J9HB8Q_hMulti,hMulti,,
SYT1,ENSG00000067715,J9HB8Q_hMulti,hMulti,,
SOCS2,ENSG00000120833,J9HB8Q_hMulti,hMulti,,
CRP,ENSG00000132693,J9HB8Q_hMulti,hMulti,,
KRT17,ENSG00000128422,J9HB8Q_hMulti,hMulti,,
SOX9,ENSG00000125398,J9HB8Q_hMulti,hMulti,,
