WUSTL Participant,WUSTL Specimen,WUSTL Path,HTAN_DATA_FILE_ID,HTAN_PARENT_ID,FILENAME,FILE_FORMAT,ASSAY_CHEMISTRY_VERSION,BUNDLE_CONTENTS,HAS_CELL_SEGMENTATION,HAS_CLUSTERING,PANEL_SIZE_TOTAL_TARGETS,PLATFORM,PROTEIN_MEASURED,QC_FEATURE_NUMBER,QC_MEAN_READS_PER_FEATURE,QC_SPATIAL_UNIT,QC_TOTAL_GENES_DETECTED,QC_TOTAL_NUMBER_OF_READS,REGION_AREA,RNA_MEASURED,SEQUENCING_CONFIGURATION,SEQUENCING_DEPTH,SEQUENCING_INSTRUMENT,SAME_SECTION_IMAGING_CHANNELS,TRANSCRIPTOME_TYPE,DIMENSIONALITY_REDUCTION_METHOD,CLUSTERING_METHOD,NUMBER_OF_CLUSTERS,CELL_SEGMENTATION_METHOD,CELL_SEGMENTED_OBJECT_TYPE,NUMBER_OF_SEGMENTED_CELLS,CAPTURE_AREA,CYTASSIST_USED,GENOMIC_REFERENCE,HAS_DIMENSIONALITY_REDUCTION,PANEL_NAME,PANEL_SYNAPSE_ID,PORTAL_PREVIEW_FILE,PROTOCOL_LINK,RUN_ID,SAME_SECTION_IMAGING_ID,SAME_SECTION_IMAGING_MODALITY,SLIDE_SERIAL_NUMBER,SOFTWARE_AND_VERSION,SPATIAL_ASSAY_TYPE
HT339B1,HT339B1-S1H3Fc2U2Bs2,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_OCT/Human/HT339B1/H3/HT339B1-S1H3Fc2U2Bs2/,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,36601,Visium,FALSE,3488,90949,spot,24375,317228560,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,174400000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT397B1,HT397B1-S1H3Fs1U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/H3/HT397B1-S1H3Fs1U1Bp1,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,17943,Visium,FALSE,3494,34240,spot,16838,119633806,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,174700000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT397B1,HT397B1-S1H2Fs4U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/H2/HT397B1-S1H2Fs4U1Bp1,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,17943,Visium,FALSE,3561,44303,spot,16719,157763711,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,178050000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT397B1,HT397B1-S1H3A1U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/S1H3/HT397B1-S1H3A1U1Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,3058,27358,spot,16112,83659373,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,152900000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT397B1,HT397B1-S1H3A1U21Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/S1H3/HT397B1-S1H3A1U21Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,2438,37554,spot,15643,91555859,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,121900000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT397B1,HT397B1-S1H3A1U41Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/S1H3/HT397B1-S1H3A1U41Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,1975,32255,spot,14367,63703763,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,98750000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT397B1,HT397B1-S1H3A1U61Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT397B1/S1H3/HT397B1-S1H3A1U61Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,1254,37697,spot,12176,42271808,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,62700000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT425B1,HT425B1-S1H2Fs1U2Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT486B1/H1/HT486B1-S1H1Fs1U2Bp1,Matt fills in,Matt fills in,,,Visium V1 Slide - FFPE v1,,FALSE,TRUE,17943,Visium,FALSE,1396,187302,spot,17300,261473049,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,69800000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT480B1,HT480B1-S1H1Fs1U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT480B1/H1/HT480B1-S1H1Fs1U1Bp1,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,17943,Visium,FALSE,2556,51652,spot,15919,132023690,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,127800000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
HT480B1,HT480B1-S1H3Fs1U1Bp1,/diskmnt/Datasets/Spatial_Transcriptomics/outputs_FFPE/Human/HT480B1/H3/HT480B1-S1H3Fs1U1Bp1,Matt fills in,Matt fills in,,,Spatial 3' v1,,FALSE,TRUE,17943,Visium,FALSE,1445,83104,spot,14893,120085442,42.25,TRUE,Read 1: 28; i7 Index: 10; i5 Index: 10; Read 2: 90,72250000,Illumina NovaSeq 6000,,Whole transcriptome,,,,,,,,,,,,,,,,,,,,capture-based
