Specimen name,participant name,PN validate,experiment,level,path
HT891Z1-S2H3Fp1U33,HT891Z1,HT891Z1,visiumhd,,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/PCa/HT891Z1-S2H3Fp1//HT891Z1-S2H3Fp1U33/outs
HT935Z1-S1H1Fp1U1,HT935Z1,HT935Z1,visiumhd,,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/PCa/HT935Z1-S1H1Fp1//HT935Z1-S1H1Fp1U1/outs
HT704B1-S1H3Fp1U2,HT704B1,HT704B1,visiumhd,,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/BRCA/HT704B1-S1H3Fp1//HT704B1-S1H3Fp1U2/outs
HT704B1-S1H3Fp1U51,HT704B1,HT704B1,visiumhd,,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/BRCA/HT704B1-S1H3Fp1//HT704B1-S1H3Fp1U51/outs
HT935Z1-S1H1Fp1U2,HT935Z1,HT935Z1,visiumhd,,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/PCa/HT935Z1-S1H1Fp1//HT935Z1-S1H1Fp1U2/outs
HT727B1-S1H4Fp1U1,HT727B1,HT727B1,visiumhd,,/diskmnt/primary/Spatial_Transcriptomics/VisiumHD_run/FFPE/SpacerangerOut/HTAN/BRCA/HT727B1-S1H4Fp1//HT727B1-S1H4Fp1U1/outs
SP012Z1-Fp1A2-Ux,SP012Z1,SP012Z1,cosmx,,/diskmnt/primary/CosMx/data/S21-11816A2_S21-44455/
SP012Z1-Fp1A15-Ux,SP012Z1,SP012Z1,cosmx,,/diskmnt/primary/CosMx/data/Prostate_S18-11798A15_S18-18215A25_run_2023-12-02/
SP005Z1-Fp1A25-Ux,SP005Z1,SP005Z1,cosmx,,/diskmnt/primary/CosMx/data/Prostate_S18-11798A15_S18-18215A25_run_2023-12-02/
HT913Z1-S1H1Fp1,HT913Z1,HT913Z1,cosmx,,/diskmnt/primary/CosMx/data/20240827_118454_HT913Z1-S1H1Fp1_HT891Z1-S2H1Fp1_HT891Z1-S2H4Fp1/
